"time","model.root.$wallTime","model.root.fmu.$wallTime","system.fmu.time","system.fmu.x","system.fmu.der(x)","system.fmu.k"
0.206, 0.000748012, 5.5977e-05, 0.2, 0.81, -0.81, 1
0.207, 0.000751523, 5.6237e-05, 0.2, 0.81, -0.81, 1
0.208, 0.000755113, 5.6509e-05, 0.2, 0.81, -0.81, 1
0.209, 0.000758613, 5.6769e-05, 0.2, 0.81, -0.81, 1
0.21, 0.000762072, 5.7028e-05, 0.2, 0.81, -0.81, 1
0.211, 0.000765662, 5.7299e-05, 0.2, 0.81, -0.81, 1
0.212, 0.000769172, 5.7569e-05, 0.2, 0.81, -0.81, 1
0.213, 0.000772782, 5.7819e-05, 0.2, 0.81, -0.81, 1
0.214, 0.000776262, 5.8079e-05, 0.2, 0.81, -0.81, 1
0.215, 0.000779812, 5.8349e-05, 0.2, 0.81, -0.81, 1
0.216, 0.000783302, 5.8619e-05, 0.2, 0.81, -0.81, 1
0.217, 0.000786852, 5.8879e-05, 0.2, 0.81, -0.81, 1
0.218, 0.000790312, 5.9139e-05, 0.2, 0.81, -0.81, 1
0.219, 0.000793922, 5.9409e-05, 0.2, 0.81, -0.81, 1
0.22, 0.000797513, 5.9689e-05, 0.2, 0.81, -0.81, 1
0.221, 0.000801193, 5.9948e-05, 0.2, 0.81, -0.81, 1
0.222, 0.000804813, 6.0195e-05, 0.2, 0.81, -0.81, 1
0.223, 0.000808413, 6.0454e-05, 0.2, 0.81, -0.81, 1
0.224, 0.000811893, 6.0725e-05, 0.2, 0.81, -0.81, 1
0.225, 0.000815394, 6.0974e-05, 0.2, 0.81, -0.81, 1
0.226, 0.000818933, 6.1225e-05, 0.2, 0.81, -0.81, 1
0.227, 0.000822384, 6.1477e-05, 0.2, 0.81, -0.81, 1
0.228, 0.000825915, 6.1747e-05, 0.2, 0.81, -0.81, 1
0.229, 0.000829446, 6.2009e-05, 0.2, 0.81, -0.81, 1
0.23, 0.000832986, 6.2259e-05, 0.2, 0.81, -0.81, 1
0.231, 0.000836576, 6.2509e-05, 0.2, 0.81, -0.81, 1
0.232, 0.000840115, 6.2767e-05, 0.2, 0.81, -0.81, 1
0.233, 0.000843605, 6.3028e-05, 0.2, 0.81, -0.81, 1
0.234, 0.000847185, 6.3288e-05, 0.2, 0.81, -0.81, 1
0.235, 0.000850625, 6.3548e-05, 0.2, 0.81, -0.81, 1
0.236, 0.000854275, 6.3808e-05, 0.2, 0.81, -0.81, 1
0.237, 0.000857785, 6.4058e-05, 0.2, 0.81, -0.81, 1
0.238, 0.000861255, 6.4318e-05, 0.2, 0.81, -0.81, 1
0.239, 0.000864745, 6.4588e-05, 0.2, 0.81, -0.81, 1
0.24, 0.000868235, 6.4858e-05, 0.2, 0.81, -0.81, 1
0.241, 0.000871745, 6.5118e-05, 0.2, 0.81, -0.81, 1
0.242, 0.000875265, 6.5388e-05, 0.2, 0.81, -0.81, 1
0.243, 0.000878805, 6.5639e-05, 0.2, 0.81, -0.81, 1
0.244, 0.000882285, 6.5909e-05, 0.2, 0.81, -0.81, 1
0.245, 0.000885836, 6.6179e-05, 0.2, 0.81, -0.81, 1
0.246, 0.000889266, 6.6437e-05, 0.2, 0.81, -0.81, 1
0.247, 0.000892866, 6.6697e-05, 0.2, 0.81, -0.81, 1
0.248, 0.000896296, 6.6948e-05, 0.2, 0.81, -0.81, 1
0.249, 0.000899806, 6.7208e-05, 0.2, 0.81, -0.81, 1
0.25, 0.000903216, 6.7477e-05, 0.2, 0.81, -0.81, 1
0.251, 0.000906656, 6.7738e-05, 0.2, 0.81, -0.81, 1
0.252, 0.000910176, 6.7999e-05, 0.2, 0.81, -0.81, 1
0.253, 0.000913627, 6.8251e-05, 0.2, 0.81, -0.81, 1
0.254, 0.000917187, 6.8511e-05, 0.2, 0.81, -0.81, 1
0.255, 0.000920657, 6.8781e-05, 0.2, 0.81, -0.81, 1
0.256, 0.000924197, 6.9051e-05, 0.2, 0.81, -0.81, 1
0.257, 0.000930297, 6.9301e-05, 0.2, 0.81, -0.81, 1
0.258, 0.000933837, 6.9571e-05, 0.2, 0.81, -0.81, 1
0.259, 0.000937387, 6.9831e-05, 0.2, 0.81, -0.81, 1
0.26, 0.000940837, 7.0091e-05, 0.2, 0.81, -0.81, 1
0.261, 0.000944307, 7.0341e-05, 0.2, 0.81, -0.81, 1
0.262, 0.000947877, 7.061e-05, 0.2, 0.81, -0.81, 1
0.263, 0.000951417, 7.0883e-05, 0.2, 0.81, -0.81, 1
0.264, 0.000954937, 7.1144e-05, 0.2, 0.81, -0.81, 1
0.265, 0.000958397, 7.1417e-05, 0.2, 0.81, -0.81, 1
0.266, 0.000962007, 7.1678e-05, 0.2, 0.81, -0.81, 1
0.267, 0.000965518, 7.1949e-05, 0.2, 0.81, -0.81, 1
0.268, 0.000969078, 7.2218e-05, 0.2, 0.81, -0.81, 1
0.269, 0.000972548, 7.2486e-05, 0.2, 0.81, -0.81, 1
0.27, 0.000976167, 7.2757e-05, 0.2, 0.81, -0.81, 1
0.271, 0.000979638, 7.3028e-05, 0.2, 0.81, -0.81, 1
0.272, 0.000983208, 7.3299e-05, 0.2, 0.81, -0.81, 1
0.273, 0.000986677, 7.3548e-05, 0.2, 0.81, -0.81, 1
0.274, 0.000990157, 7.3807e-05, 0.2, 0.81, -0.81, 1
0.275, 0.000993657, 7.4078e-05, 0.2, 0.81, -0.81, 1
0.276, 0.000997237, 7.4338e-05, 0.2, 0.81, -0.81, 1
0.277, 0.001000797, 7.4588e-05, 0.2, 0.81, -0.81, 1
0.278, 0.001004347, 7.4838e-05, 0.2, 0.81, -0.81, 1
0.279, 0.001007897, 7.5088e-05, 0.2, 0.81, -0.81, 1
0.28, 0.001011397, 7.5348e-05, 0.2, 0.81, -0.81, 1
0.281, 0.001015007, 7.5598e-05, 0.2, 0.81, -0.81, 1
0.282, 0.001018517, 7.5858e-05, 0.2, 0.81, -0.81, 1
0.283, 0.001022197, 7.6118e-05, 0.2, 0.81, -0.81, 1
0.284, 0.001025627, 7.6388e-05, 0.2, 0.81, -0.81, 1
0.285, 0.001029317, 7.6649e-05, 0.2, 0.81, -0.81, 1
0.286, 0.001032836, 7.6927e-05, 0.2, 0.81, -0.81, 1
0.287, 0.001036307, 7.7189e-05, 0.2, 0.81, -0.81, 1
0.288, 0.001039808, 7.7457e-05, 0.2, 0.81, -0.81, 1
0.289, 0.001043357, 7.7726e-05, 0.2, 0.81, -0.81, 1
0.29, 0.001046917, 7.7975e-05, 0.2, 0.81, -0.81, 1
