"time","model.root.$wallTime","model.root.fmu.$wallTime","system.fmu.time","system.fmu.x0","system.fmu.der(x0)","system.fmu.x1","system.fmu.der(x1)","system.fmu.mu"
0.189, 0.000894438, 7.3508e-05, 0.18, 1.97380338228, -0.281214681347, -0.281214681347, -1.15943384509, 1
0.19, 0.000899078, 7.4017e-05, 0.19, 1.97099123547, -0.292809019798, -0.292809019798, -1.12629388645, 1
0.191, 0.000903499, 7.4386e-05, 0.19, 1.97099123547, -0.292809019798, -0.292809019798, -1.12629388645, 1
0.192, 0.000908059, 7.4756e-05, 0.19, 1.97099123547, -0.292809019798, -0.292809019798, -1.12629388645, 1
0.193, 0.000912529, 7.5126e-05, 0.19, 1.97099123547, -0.292809019798, -0.292809019798, -1.12629388645, 1
0.194, 0.000917029, 7.5486e-05, 0.19, 1.97099123547, -0.292809019798, -0.292809019798, -1.12629388645, 1
0.195, 0.000921559, 7.5846e-05, 0.19, 1.97099123547, -0.292809019798, -0.292809019798, -1.12629388645, 1
0.196, 0.000925959, 7.6206e-05, 0.19, 1.97099123547, -0.292809019798, -0.292809019798, -1.12629388645, 1
0.197, 0.000930549, 7.6556e-05, 0.19, 1.97099123547, -0.292809019798, -0.292809019798, -1.12629388645, 1
0.198, 0.000934959, 7.6925e-05, 0.19, 1.97099123547, -0.292809019798, -0.292809019798, -1.12629388645, 1
0.199, 0.000939428, 7.7287e-05, 0.19, 1.97099123547, -0.292809019798, -0.292809019798, -1.12629388645, 1
0.2, 0.000944169, 7.7796e-05, 0.2, 1.96806314527, -0.304071958663, -0.304071958663, -1.09438153511, 1
0.201, 0.000948679, 7.8164e-05, 0.2, 1.96806314527, -0.304071958663, -0.304071958663, -1.09438153511, 1
0.202, 0.000953208, 7.8542e-05, 0.2, 1.96806314527, -0.304071958663, -0.304071958663, -1.09438153511, 1
0.203, 0.000957738, 7.8913e-05, 0.2, 1.96806314527, -0.304071958663, -0.304071958663, -1.09438153511, 1
0.204, 0.000962229, 7.9284e-05, 0.2, 1.96806314527, -0.304071958663, -0.304071958663, -1.09438153511, 1
0.205, 0.000966749, 7.9632e-05, 0.2, 1.96806314527, -0.304071958663, -0.304071958663, -1.09438153511, 1
0.206, 0.000971129, 7.9983e-05, 0.2, 1.96806314527, -0.304071958663, -0.304071958663, -1.09438153511, 1
0.207, 0.000978049, 8.0343e-05, 0.2, 1.96806314527, -0.304071958663, -0.304071958663, -1.09438153511, 1
0.208, 0.000982589, 8.0703e-05, 0.2, 1.96806314527, -0.304071958663, -0.304071958663, -1.09438153511, 1
0.209, 0.000987029, 8.1063e-05, 0.2, 1.96806314527, -0.304071958663, -0.304071958663, -1.09438153511, 1
0.21, 0.000991699, 8.1583e-05, 0.21, 1.96502242569, -0.315015774014, -0.315015774014, -1.06366365426, 1
0.211, 0.000996319, 8.1943e-05, 0.21, 1.96502242569, -0.315015774014, -0.315015774014, -1.06366365426, 1
0.212, 0.001000849, 8.2313e-05, 0.21, 1.96502242569, -0.315015774014, -0.315015774014, -1.06366365426, 1
0.213, 0.001005479, 8.2683e-05, 0.21, 1.96502242569, -0.315015774014, -0.315015774014, -1.06366365426, 1
0.214, 0.001010149, 8.3043e-05, 0.21, 1.96502242569, -0.315015774014, -0.315015774014, -1.06366365426, 1
0.215, 0.001014609, 8.3401e-05, 0.21, 1.96502242569, -0.315015774014, -0.315015774014, -1.06366365426, 1
0.216, 0.001019129, 8.377e-05, 0.21, 1.96502242569, -0.315015774014, -0.315015774014, -1.06366365426, 1
0.217, 0.001023689, 8.414e-05, 0.21, 1.96502242569, -0.315015774014, -0.315015774014, -1.06366365426, 1
0.218, 0.001028249, 8.4509e-05, 0.21, 1.96502242569, -0.315015774014, -0.315015774014, -1.06366365426, 1
0.219, 0.001032759, 8.488e-05, 0.21, 1.96502242569, -0.315015774014, -0.315015774014, -1.06366365426, 1
0.22, 0.001037399, 8.54e-05, 0.22, 1.96187226795, -0.325652410556, -0.325652410556, -1.03410717898, 1
0.221, 0.00104194, 8.578e-05, 0.22, 1.96187226795, -0.325652410556, -0.325652410556, -1.03410717898, 1
0.222, 0.001046489, 8.614e-05, 0.22, 1.96187226795, -0.325652410556, -0.325652410556, -1.03410717898, 1
0.223, 0.001050999, 8.651e-05, 0.22, 1.96187226795, -0.325652410556, -0.325652410556, -1.03410717898, 1
0.224, 0.001055479, 8.687e-05, 0.22, 1.96187226795, -0.325652410556, -0.325652410556, -1.03410717898, 1
0.225, 0.001059899, 8.723e-05, 0.22, 1.96187226795, -0.325652410556, -0.325652410556, -1.03410717898, 1
0.226, 0.001064449, 8.759e-05, 0.22, 1.96187226795, -0.325652410556, -0.325652410556, -1.03410717898, 1
0.227, 0.001068999, 8.794e-05, 0.22, 1.96187226795, -0.325652410556, -0.325652410556, -1.03410717898, 1
0.228, 0.001073459, 8.831e-05, 0.22, 1.96187226795, -0.325652410556, -0.325652410556, -1.03410717898, 1
0.229, 0.001077879, 8.868e-05, 0.22, 1.96187226795, -0.325652410556, -0.325652410556, -1.03410717898, 1
0.23, 0.001082429, 8.921e-05, 0.23, 1.95861574384, -0.335993482346, -0.335993482346, -1.00567921669, 1
0.231, 0.001086939, 8.9558e-05, 0.23, 1.95861574384, -0.335993482346, -0.335993482346, -1.00567921669, 1
0.232, 0.00109169, 8.9917e-05, 0.23, 1.95861574384, -0.335993482346, -0.335993482346, -1.00567921669, 1
0.233, 0.00109612, 9.0287e-05, 0.23, 1.95861574384, -0.335993482346, -0.335993482346, -1.00567921669, 1
